Index,Atom,Spin1,Spin2
1,H,0.165599,-0.000514
2,H,0.144165,-0.000053
3,H,0.142568,-0.000312
4,H,0.160846,-0.000316
5,C,-0.109278,0.014200
6,C,0.034028,-0.007067
7,C,0.032368,0.001709
8,C,-0.109639,0.008184
9,C,-0.130543,0.006935
10,C,-0.130615,0.000262
11,H,0.165599,-0.000514
12,H,0.144165,-0.000053
13,H,0.142568,-0.000312
14,H,0.160846,-0.000316
15,C,0.034028,-0.007067
16,C,-0.155505,0.038168
17,C,0.351247,0.037851
18,N,-0.375566,-0.027002
19,C,0.348116,0.054459
20,C,0.354442,0.009239
21,Cu,0.966773,0.676123
22,N,-0.685795,0.072010
23,N,-0.685795,0.072010
24,N,-0.684189,0.065177
25,N,-0.684189,0.065177
26,C,0.350990,0.024851
27,N,-0.381479,-0.006785
28,C,0.354442,0.009239
29,C,0.350990,0.024851
30,C,0.351247,0.037851
31,N,-0.378041,-0.013095
32,C,0.348116,0.054459
33,N,-0.378041,-0.013095
34,C,0.037077,-0.003258
35,C,0.038616,-0.012869
36,C,-0.156543,0.024177
37,C,0.059017,-0.009393
38,C,0.057456,-0.018417
39,H,0.173756,-0.001222
40,H,0.168230,-0.000777
41,C,0.037077,-0.003258
42,C,0.038616,-0.012869
43,C,-0.155505,0.038168
44,C,-0.156543,0.024177
45,H,0.168230,-0.000777
46,H,0.173756,-0.001222
47,C,0.032368,0.001709
48,C,-0.109639,0.008184
49,C,-0.130543,0.006935
50,C,-0.130615,0.000262
51,C,-0.109278,0.014200
52,H,0.173756,-0.001222
53,H,0.168230,-0.000777
54,C,-0.155505,0.038168
55,C,0.038616,-0.012869
56,C,0.037077,-0.003258
57,C,-0.156543,0.024177
58,C,0.059017,-0.009393
59,C,0.057456,-0.018417
60,H,0.160846,-0.000316
61,H,0.142568,-0.000312
62,H,0.144165,-0.000053
63,H,0.165599,-0.000514
64,C,0.032368,0.001709
65,C,-0.156543,0.024177
66,C,0.354442,0.009239
67,N,-0.378041,-0.013095
68,C,0.351247,0.037851
69,C,0.350990,0.024851
70,Cu,0.966773,0.676123
71,N,-0.684189,0.065177
72,N,-0.685795,0.072010
73,N,-0.684189,0.065177
74,N,-0.685795,0.072010
75,C,0.354442,0.009239
76,N,-0.378041,-0.013095
77,C,0.351247,0.037851
78,C,0.348116,0.054459
79,C,0.348116,0.054459
80,N,-0.375566,-0.027002
81,C,0.350990,0.024851
82,N,-0.381479,-0.006785
83,C,0.038616,-0.012869
84,C,0.037077,-0.003258
85,C,-0.155505,0.038168
86,C,0.057456,-0.018417
87,C,0.059017,-0.009393
88,H,0.168230,-0.000777
89,H,0.173756,-0.001222
90,C,0.032368,0.001709
91,C,0.034028,-0.007067
92,C,-0.109278,0.014200
93,C,-0.130615,0.000262
94,C,-0.130543,0.006935
95,C,-0.109639,0.008184
96,H,0.160846,-0.000316
97,H,0.142568,-0.000312
98,H,0.144165,-0.000053
99,H,0.165599,-0.000514
100,C,0.034028,-0.007067
101,C,-0.109278,0.014200
102,C,-0.130615,0.000262
103,C,-0.130543,0.006935
104,C,-0.109639,0.008184
105,H,0.160846,-0.000316
106,H,0.142568,-0.000312
107,H,0.144165,-0.000053
108,H,0.165599,-0.000514
109,C,-0.109639,0.008184
110,C,0.032368,0.001709
111,C,0.034028,-0.007067
112,C,-0.109278,0.014200
113,C,-0.130615,0.000262
114,C,-0.130543,0.006935
115,H,0.173756,-0.001222
116,H,0.168230,-0.000777
117,C,0.038616,-0.012869
118,C,-0.109278,0.014200
119,C,0.348116,0.054459
120,N,-0.378041,-0.013095
121,C,0.350990,0.024851
122,C,0.351247,0.037851
123,Cu,0.966773,0.676123
124,N,-0.685795,0.072010
125,N,-0.684189,0.065177
126,N,-0.685795,0.072010
127,N,-0.684189,0.065177
128,C,0.348116,0.054459
129,N,-0.378041,-0.013095
130,C,0.350990,0.024851
131,C,0.354442,0.009239
132,C,0.354442,0.009239
133,N,-0.381479,-0.006785
134,C,0.351247,0.037851
135,N,-0.375566,-0.027002
136,C,0.032368,0.001709
137,C,0.034028,-0.007067
138,C,-0.109639,0.008184
139,C,-0.130543,0.006935
140,C,-0.130615,0.000262
141,H,0.165599,-0.000514
142,H,0.144165,-0.000053
143,H,0.142568,-0.000312
144,H,0.160846,-0.000316
145,C,0.038616,-0.012869
146,C,0.037077,-0.003258
147,C,-0.156543,0.024177
148,C,-0.155505,0.038168
149,H,0.173756,-0.001222
150,H,0.168230,-0.000777
151,C,0.037077,-0.003258
152,C,-0.156543,0.024177
153,C,-0.155505,0.038168
154,H,0.168230,-0.000777
155,H,0.173756,-0.001222
156,C,-0.156543,0.024177
157,C,0.037077,-0.003258
158,C,0.038616,-0.012869
159,C,-0.155505,0.038168
160,C,0.057456,-0.018417
161,C,0.059017,-0.009393
162,H,0.168230,-0.000777
163,H,0.173756,-0.001222
164,C,0.037077,-0.003258
165,C,-0.109639,0.008184
166,C,0.350990,0.024851
167,N,-0.381479,-0.006785
168,C,0.354442,0.009239
169,C,0.348116,0.054459
170,Cu,0.966773,0.676123
171,N,-0.684189,0.065177
172,N,-0.684189,0.065177
173,N,-0.685795,0.072010
174,N,-0.685795,0.072010
175,C,0.351247,0.037851
176,N,-0.375566,-0.027002
177,C,0.348116,0.054459
178,C,0.351247,0.037851
179,C,0.350990,0.024851
180,N,-0.378041,-0.013095
181,C,0.354442,0.009239
182,N,-0.378041,-0.013095
183,C,0.034028,-0.007067
184,C,0.032368,0.001709
185,C,-0.109278,0.014200
186,C,-0.130615,0.000262
187,C,-0.130543,0.006935
188,H,0.160846,-0.000316
189,H,0.142568,-0.000312
190,H,0.144165,-0.000053
191,H,0.165599,-0.000514
192,C,0.034028,-0.007067
193,C,0.032368,0.001709
194,C,-0.109639,0.008184
195,C,-0.130543,0.006935
196,C,-0.130615,0.000262
197,C,-0.109278,0.014200
198,H,0.165599,-0.000514
199,H,0.144165,-0.000053
200,H,0.142568,-0.000312
201,H,0.160846,-0.000316
202,C,0.038616,-0.012869
203,C,-0.155505,0.038168
204,C,-0.156543,0.024177
